m49_code,country,region,cpc_code,commodity,year,loss_percentage,loss_quantity,activity,food_supply_stage,treatment,cause_of_loss,sample_size,method_data_collection
1,World,Unknown,0111,Wheat,2022,1.0,0.0,Processing,Processing,UNK,UNK,0.0,Survey
1,World,Unknown,0112,Maize (corn),2022,0.5,0.0,Processing,Processing,UNK,UNK,0.0,Survey
1,World,Unknown,0112,Maize (corn),2022,2.0,0.0,Processing,Processing,UNK,UNK,0.0,Survey
1,World,Unknown,0112,Maize (corn),2022,2.0,0.0,Processing,Processing,UNK,UNK,0.0,Survey
1,World,Unknown,0112,Maize (corn),2022,0.1,0.0,Processing,Processing,UNK,UNK,0.0,Survey
1,World,Unknown,0112,Maize (corn),2022,2.0,0.0,Processing,Processing,UNK,UNK,0.0,Survey
1,World,Unknown,0113,Rice,2022,2.5,0.0,Processing,Processing,UNK,UNK,0.0,Survey
1,World,Unknown,0114,Sorghum,2022,0.5,0.0,Processing,Processing,UNK,UNK,0.0,Survey
1,World,Unknown,0115,Barley,2022,12.0,0.0,Processing,Processing,UNK,UNK,0.0,Survey
1,World,Unknown,0115,Barley,2022,2.0,0.0,Processing,Processing,UNK,UNK,0.0,Survey
1,World,Unknown,0115,Barley,2022,2.0,0.0,Processing,Processing,UNK,UNK,0.0,Survey
1,World,Unknown,0116,Rye,2022,1.0,0.0,Processing,Processing,UNK,UNK,0.0,Survey
1,World,Unknown,0117,Oats,2022,2.0,0.0,Processing,Processing,UNK,UNK,0.0,Survey
1,World,Unknown,0117,Oats,2022,2.0,0.0,Processing,Processing,UNK,UNK,0.0,Survey
1,World,Unknown,0118,Millet,2022,2.0,0.0,Processing,Processing,UNK,UNK,0.0,Survey
1,World,Unknown,01192,Buckwheat,2022,2.0,0.0,Processing,Processing,UNK,UNK,0.0,Survey
1,World,Unknown,01199.90,Cereals n.e.c.,2022,2.0,0.0,Processing,Processing,UNK,UNK,0.0,Survey
1,World,Unknown,01199.90,Cereals n.e.c.,2022,2.0,0.0,Processing,Processing,UNK,UNK,0.0,Survey
1,World,Unknown,01199.90,Cereals n.e.c.,2022,1.0,0.0,Processing,Processing,UNK,UNK,0.0,Survey
1,World,Unknown,23140.04,Pot barley,2022,2.0,0.0,Processing,Processing,UNK,UNK,0.0,Survey
1,World,Unknown,23140.08,Cereal preparations,2022,2.0,0.0,Processing,Processing,UNK,UNK,0.0,Survey
1,World,Unknown,23140.08,Cereal preparations,2022,2.0,0.0,Processing,Processing,UNK,UNK,0.0,Survey
1,World,Unknown,23140.08,Cereal preparations,2022,2.0,0.0,Processing,Processing,UNK,UNK,0.0,Survey
1,World,Unknown,23140.08,Cereal preparations,2022,2.0,0.0,Processing,Processing,UNK,UNK,0.0,Survey
1,World,Unknown,24320,"Malt, whether or not roasted",2022,2.0,0.0,Processing,Processing,UNK,UNK,0.0,Survey
104,Myanmar,Unknown,23161.02,"Rice, milled",2015,5.88,0.0,Storage,Storage,"30 days storage, no trapping",Rodents,0.0,Controlled Experiment
104,Myanmar,Unknown,23161.02,"Rice, milled",2015,11.77,0.0,Storage,Storage,"60 days storage, no trapping",Rodents,0.0,Controlled Experiment
104,Myanmar,Unknown,23161.02,"Rice, milled",2015,17.65,0.0,Storage,Storage,"90 days storage, no trapping",Rodents,0.0,Controlled Experiment
104,Myanmar,Unknown,23161.02,"Rice, milled",2015,3.57,0.0,Storage,Storage,"60 days storage, with trapping",Rodents,0.0,Controlled Experiment
104,Myanmar,Unknown,23161.02,"Rice, milled",2015,5.35,0.0,Storage,Storage,"90 days storage, with trapping",Rodents,0.0,Controlled Experiment
104,Myanmar,Unknown,23161.02,"Rice, milled",2015,1.78,0.0,Storage,Storage,"30 days storage, with trapping",Rodents,0.0,Controlled Experiment
104,Myanmar,Unknown,0142,"Groundnuts, excluding shelled",2009,5.22,68100.0,Unknown,Whole supply chain,UNK,UNK,0.0,FAO's annual Agriculture Production Questionnaires
104,Myanmar,Unknown,0142,"Groundnuts, excluding shelled",2008,5.43,65240.0,Unknown,Whole supply chain,UNK,UNK,0.0,FAO's annual Agriculture Production Questionnaires
104,Myanmar,Unknown,0142,"Groundnuts, excluding shelled",2007,5.61,61080.0,Unknown,Whole supply chain,UNK,UNK,0.0,FAO's annual Agriculture Production Questionnaires
104,Myanmar,Unknown,0142,"Groundnuts, excluding shelled",2006,5.4,55270.0,Unknown,Whole supply chain,UNK,UNK,0.0,FAO's annual Agriculture Production Questionnaires
104,Myanmar,Unknown,0142,"Groundnuts, excluding shelled",2005,5.0,51970.0,Unknown,Whole supply chain,UNK,UNK,0.0,FAO's annual Agriculture Production Questionnaires
104,Myanmar,Unknown,0142,"Groundnuts, excluding shelled",2004,5.0,47310.0,Unknown,Whole supply chain,UNK,UNK,0.0,FAO's annual Agriculture Production Questionnaires
104,Myanmar,Unknown,0142,"Groundnuts, excluding shelled",2003,5.0,43880.0,Unknown,Whole supply chain,UNK,UNK,0.0,FAO's annual Agriculture Production Questionnaires
108,Burundi,Unknown,0111,Wheat,2021,4.43333,0.0,"Drying, Harvesting",Harvest,UNK,UNK,0.0,Modelled Estimates
108,Burundi,Unknown,0111,Wheat,2021,4.86667,0.0,Storage,Farm,UNK,UNK,0.0,Modelled Estimates
108,Burundi,Unknown,0111,Wheat,2021,3.5,0.0,"Shelling, Threshing",Unknown,UNK,UNK,0.0,Modelled Estimates
108,Burundi,Unknown,0111,Wheat,2021,2.5,0.0,Transportation,Farm,UNK,UNK,0.0,Modelled Estimates
108,Burundi,Unknown,0112,Maize (corn),2021,5.26375,0.0,Storage,Farm,UNK,UNK,0.0,Modelled Estimates
